movieId,title_cast,director,runtime,budget,plot_keywords
1,Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn|John Ratzenberger|Annie Potts|John Morris|Erik von Detten|Laurie Metcalf|R. Lee Ermey|Sarah Freeman|Penn Jillette|Jack Angel|Spencer Aste,John Lasseter,81,"$30,000,000",toy|rivalry|cowboy|cgi animation
2,Robin Williams|Jonathan Hyde|Kirsten Dunst|Bradley Pierce|Bonnie Hunt|Bebe Neuwirth|David Alan Grier|Patricia Clarkson|Adam Hann-Byrd|Laura Bell Bundy|James Handy|Gillian Barber|Brandon Obray|Cyrus Thiedeke|Gary Joseph Thorup,Jonathan Hensleigh,104,"$65,000,000",board game|adventurer|fight|game
3,Walter Matthau|Jack Lemmon|Sophia Loren|Ann-Margret|Burgess Meredith|Daryl Hannah|Kevin Pollak|Katie Sagona|Ann Morgan Guilbert|James Andelin|Marcus Klemp|Max Wright|Cheryl Hawker|Wayne A. Evenson|Allison Levine,Mark Steven Johnson,101,"$25,000,000",boat|lake|neighbor|rivalry
4,Whitney Houston|Angela Bassett|Loretta Devine|Lela Rochon|Gregory Hines|Dennis Haysbert|Mykelti Williamson|Michael Beach|Leon|Wendell Pierce|Donald Faison|Jeffrey D. Sams|Jazz Raycole|Brandon Hammond|Kenya Moore,Terry McMillan,124,"$16,000,000",black american|husband wife relationship|betrayal|mother son relationship
5,Steve Martin|Diane Keaton|Martin Short|Kimberly Williams-Paisley|George Newbern|Kieran Culkin|BD Wong|Peter Michael Goetz|Kate McGregor-Stewart|Jane Adams|Eugene Levy|Rebecca Chambers|April Ortiz|Dulcy Rogers|Kathy Anthony,Albert Hackett,106,"$30,000,000",fatherhood|doberman|dog|mansion
6,Al Pacino|Robert De Niro|Val Kilmer|Jon Voight|Tom Sizemore|Diane Venora|Amy Brenneman|Ashley Judd|Mykelti Williamson|Wes Studi|Ted Levine|Dennis Haysbert|William Fichtner|Natalie Portman|Tom Noonan,Michael Mann,170,"$60,000,000",gun battle|organized crime|honor|criminal investigation
7,Harrison Ford|Julia Ormond|Greg Kinnear|Nancy Marchand|John Wood|Richard Crenna|Angie Dickinson|Lauren Holly|Dana Ivey|Miriam Colon|Elizabeth Franz|Fanny Ardant|Valérie Lemercier|Patrick Bruel|Becky Ann Baker,Samuel A. Taylor,127,"$58,000,000",character name as title|chauffeur|estate|playboy
8,Jonathan Taylor Thomas|Brad Renfro|Eric Schweig|Charles Rocket|Amy Wright|Michael McShane|Marian Seldes|Rachael Leigh Cook|Lanny Flaherty|Courtland Mead|Peter Mackenzie|Heath Lamberts|William Newman|Joey Stinson|Blake Heron,Mark Twain,97,NA,rescue from drowning|near drowning|character names as title|forenames as title
9,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry|Whittni Wright|Ross Malinger|Dorian Harewood|Kate McNeil|Michael Gaston|Audra Lindley|Brian Delate|Steve Aronson|Michael R. Aubele|Karen Elise Baldwin|Jennifer D. Bowser|Pat Brisson,Karen Elise Baldwin,111,"$35,000,000",hockey|death in title|two word title|terrorist
10,Pierce Brosnan|Sean Bean|Izabella Scorupco|Famke Janssen|Joe Don Baker|Judi Dench|Robbie Coltrane|Tchéky Karyo|Gottfried John|Alan Cumming|Desmond Llewelyn|Samantha Bond|Michael Kitchen|Serena Gordon|Simon Kunz,Ian Fleming,130,"$60,000,000",official james bond series|james bond character|007|chemical weapons
11,Michael Douglas|Annette Bening|Martin Sheen|Michael J. Fox|Anna Deavere Smith|Samantha Mathis|Shawna Waldron|David Paymer|Anne Haney|Richard Dreyfuss|Nina Siemaszko|Wendie Malick|Beau Billingslea|Gail Strickland|Joshua Malina,Aaron Sorkin,114,"$62,000,000",reference to franklin d. roosevelt|reference to martin van buren|president|speechwriter
12,Leslie Nielsen|Peter MacNicol|Steven Weber|Amy Yasbeck|Lysette Anthony|Harvey Korman|Mel Brooks|Mark Blankfield|Megan Cavanagh|Clive Revill|Chuck McCann|Avery Schreiber|Cherie Franklin|Ezio Greggio|Leslie S. Sachs,Mel Brooks,88,"$30,000,000",dracula|vampire|19th century|insane asylum
13,Kevin Bacon|Bob Hoskins|Bridget Fonda|Jim Cummings|Phil Collins|Jack Angel|Danny Mann|Robbie Rist|Juliette Brewer|Sandra Dickinson|Miriam Margolyes|Lola Bates-Campbell|Donald Sinden|William Roberts|Garrick Hagon,Cliff Ruby,78,NA,dog|nome alaska|alaska|children
14,Anthony Hopkins|Joan Allen|Powers Boothe|Ed Harris|Bob Hoskins|E.G. Marshall|David Paymer|David Hyde Pierce|Paul Sorvino|Mary Steenburgen|J.T. Walsh|James Woods|Brian Bedford|Kevin Dunn|Fyvush Finkel,Oliver Stone,192,"$44,000,000",american president|american politics|paranoia|u.s. president
15,Geena Davis|Matthew Modine|Frank Langella|Maury Chaykin|Patrick Malahide|Stan Shaw|Rex Linn|Paul Dillon|Christopher Masterson|Jimmie F. Skaggs|Harris Yulin|Carl Chase|Peter Geeves|Angus Wright|Ken Bones,Michael Frost Beckner,124,"$98,000,000",treasure|pirate|treasure map|pirate ship
16,Robert De Niro|Sharon Stone|Joe Pesci|James Woods|Don Rickles|Alan King|Kevin Pollak|L.Q. Jones|Dick Smothers|Frank Vincent|John Bloom|Pasquale Cajano|Melissa Prophet|Bill Allison|Vinny Vella,Nicholas Pileggi,178,"$52,000,000",crime epic|casino|gambling|gangster
17,James Fleet|Tom Wilkinson|Harriet Walter|Kate Winslet|Emma Thompson|Gemma Jones|Hugh Grant|Emilie François|Elizabeth Spriggs|Robert Hardy|Ian Brimble|Isabelle Amyes|Alan Rickman|Greg Wise|Alexander John,Jane Austen,136,"$16,000,000",england|19th century|based on novel|black hair
18,Sammi Davis|Amanda De Cadenet|Valeria Golino|Madonna|Ione Skye|Lili Taylor|Alicia Witt|Jennifer Beals|David Proval|Antonio Banderas|Lana McKissack|Patricia Vonne|Tamlyn Tomita|Danny Verduzco|Salma Hayek,Alexandre Rockwell,98,"$4,000,000",woman|gagged woman|tied to a chair|weapon
19,Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi|Bob Gunton|Sophie Okonedo|Tommy Davidson|Adewale Akinnuoye-Agbaje|Danny Daniels|Sam Phillips|Damon Standifer|Andrew Steel|Bruce Spence|Tom Grunke|Arsenio 'Sonny' Trinidad,Jack Bernstein,90,"$30,000,000",male objectification|kidnapping|caught masturbating|fictional country
20,Wesley Snipes|Woody Harrelson|Jennifer Lopez|Robert Blake|Chris Cooper|Joe Grifasi|Scott Sowers|Skipp Sudduth|Vincent Laresca|Nelson Vasquez|Vincent Patrick|Aida Turturro|Alvaleta Guess|Vincent Pastore|David Tawil,Doug Richardson,110,"$68,000,000",train|subway|loan shark|new year's eve
21,John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina|Delroy Lindo|James Gandolfini|Jon Gries|Renee Props|David Paymer|Martin Ferrero|Miguel Sandoval|Jacob Vargas|Linda Hart|Bobby Slayton,Elmore Leonard,105,"$30,250,000",movie business|loan shark|debt|mobster
